"AgeCurrent","Location","SchoolType","SchoolLocation","SchoolYear","SchoolYearTEXT","SchoolFinish","IdentityEthnicity","IdentityRace","IdentityReligion","IdentityDisability","IdentityNeuro","IdentitySexuality","IdentitySexualityTEXT","IdentityGender","IdentityGenderTEXT","IdentitySex","IdentitySexTEXT","MAttraction","MAttractionTEXT","MSelfIdentity","MSelfIdentityTEXT","MSAHom","MSAHomTEXT","MSAHet","MSAHetTEXT","MRHom","MRHomTEXT","MRHet","MRHetTEXT","MComingOut","MComingOutTEXT","MComingOutWho2","MComingOutWho2TEXT","MComingOut3","MComingOutFamily4","MComingOutFamily4TEXT","RPDS","ACQ","IntHom1","IntHom2","IntHom3","HSS1Q1","HSS1Q2","HSS2Q1","HSS2Q2","HSS3Q1","HSS3Q2","HSS4Q1","HSS4Q2","HSS5Q1","HSS5Q2","HSS6Q1","HSS6Q2","HSS7Q1","HSS7Q2","HSS8Q1","HSS8Q2","HSS9Q1","HSS9Q2","HSS10Q1","HSS10Q2","HSS11Q1","HSS11Q2","HSS12Q1","HSS12Q2","HSS13Q1","HSS13Q2","HSS14Q1","HSS14Q2","ACQ2","DERS1","DERS2","DERS3","DERS4","DERS5","DERS6","DERS7","DERS8","DERS9","DERS10","DERS11","DERS12","DERS13","DERS14","DERS15","DERS16","SASI1","SASI2","SASI3","SASI4","SASI5","SASI6","SASI7","SASI8","SASI9","SASI10","RaceDemog","ReligionDemog","GenderGroup","SexualityGroup","HSS1","HSS2","HSS3","HSS4","HSS5","HSS6","HSS7","HSS8","HSS9","HSS10","HSS11","HSS12","HSS13","HSS14","SMA_RSS","IntHom","Clarity","Goals","Impulse","Strategies","Nonacceptance","DERS","goodsasi","badsasi","SASI"
20,8,1,1,2,NA,"1,6","10","6",2,"4","2","4,6,9",NA,"2",NA,"2",NA,1,13,1,16,1,19,1,19,2,NA,1,18,1,19,1,NA,2,2,NA,1,5,3,3,3,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,4,3,4,3,4,3,2,2,3,3,4,3,4,2,2,3,2,2,2,2,1,1,2,1,2,3,2,3,3,4,2,3,3,2,2,2,3,3,4,"6","1","2","2",1,1,1,2,1,4,1,1,12,12,12,4,9,12,5.21428571428571,9,4,8,4,11,6,33,14,14,28
18,3,3,1,2,NA,"1","12","6",8,"5","2","9",NA,"2",NA,"2",NA,2,NA,1,16,2,NA,2,NA,2,NA,2,NA,1,16,1,NA,2,1,17,3,5,2,2,2,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,3,3,5,5,5,5,1,1,1,1,1,1,4,2,2,2,1,1,1,2,1,3,3,1,3,3,3,2,3,4,2,4,5,2,4,4,5,4,4,"6","2","2","3",1,1,1,1,1,8,1,1,9,25,25,1,1,1,5.5,6,4,6,3,11,9,33,18,20,38
16,3,1,2,1,12,NA,"10","6",8,"4","1","1",NA,"2",NA,"2",NA,1,13,1,13,2,NA,2,NA,1,14,2,NA,1,14,1,NA,2,1,15,3,5,4,3,3,3,2,2,2,3,2,3,4,2,1,3,2,3,2,2,2,5,2,4,3,4,2,6,4,6,4,6,6,4,3,3,4,2,3,2,4,2,3,4,2,2,4,4,4,4,4,2,4,4,4,2,3,4,4,2,"6","2","2","1",6,4,6,12,2,6,6,4,10,12,8,24,24,36,11.4285714285714,10,6,12,6,15,11,50,19,14,33
17,8,2,1,1,12,NA,NA,NA,8,"5","3","1,2",NA,"2",NA,"2",NA,1,14,1,14,2,NA,2,NA,2,NA,2,NA,1,16,6,"School chaplain",2,2,NA,4,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,2,4,2,3,2,2,4,5,5,4,4,3,5,2,2,5,5,2,4,2,2,2,4,4,5,4,4,1,4,3,4,2,4,2,4,2,NA,"2","2","1",1,1,1,1,1,1,1,1,6,8,8,6,8,25,4.92857142857143,12,7,15,6,17,10,55,20,10,30
17,7,3,2,1,12,NA,"6","2",8,NA,"1","7,9",NA,"3",NA,"2",NA,1,14,1,15,1,15,2,NA,2,NA,2,NA,1,15,1,NA,2,1,14,4,5,1,1,1,4,3,1,2,4,3,4,2,2,2,4,3,1,1,3,2,6,6,6,6,6,6,4,3,4,2,6,5,4,3,3,5,3,4,4,5,5,5,5,3,3,4,5,4,5,5,4,5,4,5,5,5,5,5,5,"2","2","3","3",12,2,12,8,4,12,1,6,36,36,36,12,8,30,15.3571428571429,3,6,14,11,21,14,66,25,23,48
16,9,1,2,1,11,"8","6,10,12","6",8,"6","1","9,11","Aromantic","5,6","Agender","2",NA,1,12,1,13,2,NA,2,NA,2,NA,2,NA,1,13,1,NA,2,1,13,3,5,1,1,1,1,1,1,1,1,1,2,3,1,1,2,2,1,1,1,1,5,4,6,5,4,3,2,4,2,2,2,3,4,5,4,4,1,1,2,1,1,2,1,1,2,3,2,2,1,5,4,5,5,4,5,5,5,5,5,"6","2","3","3",1,1,1,6,1,4,1,1,20,30,12,8,4,6,6.85714285714286,3,9,7,3,8,6,33,24,24,48
24,7,3,3,2,NA,"2","10,12","6",6,"4","1","7,9",NA,"3,4,5",NA,"2",NA,1,10,1,13,2,NA,2,NA,2,NA,2,NA,1,13,1,NA,1,1,21,3,5,4,3,3,4,4,5,4,6,4,4,5,5,6,6,6,4,4,6,6,6,6,4,4,2,1,4,4,3,3,6,6,4,3,4,5,4,4,4,5,5,5,5,3,5,5,5,5,5,4,2,4,4,3,4,4,3,4,5,"6","1","3","3",16,20,24,20,30,36,16,36,36,16,2,16,9,36,22.3571428571429,10,7,15,12,23,15,72,19,18,37
20,8,3,1,2,NA,"1,6","10,12","6",8,"5","1","3,4,7",NA,"1,5",NA,"2",NA,1,13,1,13,1,14,1,17,1,14,1,15,1,13,1,NA,1,1,13,4,5,2,2,2,2,2,2,2,3,3,1,1,2,2,4,3,1,1,2,3,6,6,5,5,6,6,3,4,2,2,3,4,4,4,4,2,3,1,1,1,3,4,4,3,1,4,3,4,4,5,2,5,5,5,4,4,2,5,5,"6","2","5","1",4,4,9,1,4,12,1,6,36,25,36,12,4,12,11.8571428571429,6,8,7,9,10,12,46,24,18,42
16,3,3,3,2,NA,"6","10","6",8,"5","1","6",NA,"1,5",NA,"2",NA,1,14,1,14,1,16,1,15,1,15,1,14,1,14,1,NA,2,1,15,3,5,1,1,1,1,3,2,4,1,2,1,3,1,2,1,1,1,1,3,2,4,4,3,5,4,5,1,5,2,5,1,5,4,5,3,4,4,3,4,4,3,2,1,3,2,2,2,4,5,5,5,5,5,5,5,5,5,5,5,"6","2","5","2",3,8,2,3,2,1,1,6,16,15,20,5,10,5,6.92857142857143,3,8,12,10,16,5,51,25,25,50
16,3,1,3,1,11,NA,"10,16","6",7,"5","2","1,2,7,8",NA,"2",NA,"2",NA,1,14,1,15,1,15,2,NA,2,NA,2,NA,1,14,1,NA,2,1,16,4,5,3,1,2,4,2,3,1,2,2,3,3,1,1,5,4,2,1,2,1,6,4,5,5,4,3,4,5,3,3,5,4,4,5,5,5,4,5,3,5,3,4,5,3,3,5,4,5,5,4,1,4,5,4,4,3,5,4,5,"6","3","2","1",8,3,4,9,1,20,2,2,24,25,12,20,9,20,11.3571428571429,6,10,15,10,20,14,69,19,20,39
