"AgeCurrent","Location","SchoolType","SchoolLocation","SchoolYear","SchoolYearTEXT","SchoolFinish","IdentityEthnicity","IdentityRace","IdentityReligion","IdentityDisability","IdentityNeuro","IdentitySexuality","IdentitySexualityTEXT","IdentityGender","IdentityGenderTEXT","IdentitySex","IdentitySexTEXT","MAttraction","MAttractionTEXT","MSelfIdentity","MSelfIdentityTEXT","MSAHom","MSAHomTEXT","MSAHet","MSAHetTEXT","MRHom","MRHomTEXT","MRHet","MRHetTEXT","MComingOut","MComingOutTEXT","MComingOutWho2","MComingOutWho2TEXT","MComingOut3","MComingOutFamily4","MComingOutFamily4TEXT","RPDS","ACQ","IntHom1","IntHom2","IntHom3","HSS1Q1","HSS1Q2","HSS2Q1","HSS2Q2","HSS3Q1","HSS3Q2","HSS4Q1","HSS4Q2","HSS5Q1","HSS5Q2","HSS6Q1","HSS6Q2","HSS7Q1","HSS7Q2","HSS8Q1","HSS8Q2","HSS9Q1","HSS9Q2","HSS10Q1","HSS10Q2","HSS11Q1","HSS11Q2","HSS12Q1","HSS12Q2","HSS13Q1","HSS13Q2","HSS14Q1","HSS14Q2","ACQ2","DERS1","DERS2","DERS3","DERS4","DERS5","DERS6","DERS7","DERS8","DERS9","DERS10","DERS11","DERS12","DERS13","DERS14","DERS15","DERS16","SASI1","SASI2","SASI3","SASI4","SASI5","SASI6","SASI7","SASI8","SASI9","SASI10","RaceDemog","ReligionDemog","GenderGroup","SexualityGroup","HSS1","HSS2","HSS3","HSS4","HSS5","HSS6","HSS7","HSS8","HSS9","HSS10","HSS11","HSS12","HSS13","HSS14","SMA_RSS","IntHom","Clarity","Goals","Impulse","Strategies","Nonacceptance","DERS","goodsasi","badsasi","SASI"
21,6,3,1,2,NA,"2","10","6",8,"5","1","8,9",NA,"2",NA,"2",NA,2,NA,1,19,2,NA,2,NA,2,NA,1,21,1,19,2,NA,1,1,19,2,5,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,1,4,3,2,4,1,1,1,3,1,2,1,1,1,2,1,2,4,5,2,5,5,5,5,5,5,5,5,"6","2","2","3",1,1,1,1,2,1,1,1,3,8,1,1,1,1,1.71428571428571,6,5,9,3,8,5,30,25,22,47
20,7,3,2,2,NA,"1,6","10","6",8,"5","2","4",NA,"1",NA,"1",NA,1,15,1,15,2,NA,2,NA,1,18,2,NA,1,15,1,NA,2,1,19,2,5,3,3,2,3,2,4,3,5,4,4,4,2,1,5,5,2,2,2,1,6,2,5,3,4,2,6,5,4,3,5,5,4,3,3,2,2,1,1,3,2,3,2,3,2,4,4,3,3,5,2,4,2,2,5,2,5,5,5,"6","2","1","1",6,12,20,16,2,25,4,2,12,15,8,30,12,25,13.5,8,6,8,7,11,9,41,18,19,37
22,6,2,2,2,NA,"2","10","6",8,"5","1","1,9",NA,"2",NA,"2",NA,2,NA,1,19,2,NA,2,NA,2,NA,2,NA,1,19,1,NA,2,2,NA,2,5,1,1,1,4,4,5,4,5,5,4,4,3,3,5,5,5,5,6,5,5,5,6,6,5,5,4,4,6,6,6,6,4,2,2,3,1,2,2,3,1,2,2,1,1,2,2,2,3,5,2,5,4,4,3,4,5,5,5,"6","2","2","3",16,20,25,16,9,25,25,30,25,36,25,16,36,36,24.2857142857143,3,4,8,3,10,6,31,23,19,42
21,2,3,2,2,NA,"1,6","10","6",8,"4","2","1,2,3,7,9",NA,"3,6","Agender/Genderqueer","2",NA,1,18,1,18,2,NA,2,NA,2,NA,2,NA,1,18,1,NA,2,2,NA,2,5,1,1,1,2,2,2,2,3,2,2,2,1,1,4,4,1,1,4,3,6,4,6,5,5,4,4,4,3,2,4,3,4,2,2,1,1,1,1,3,2,2,2,1,2,2,2,2,2,5,2,4,4,4,4,4,4,4,4,"6","2","3","3",4,4,6,4,1,16,1,12,24,30,20,16,6,12,11.1428571428571,3,4,6,4,8,6,28,21,18,39
17,3,3,3,1,12,NA,NA,NA,2,"5","2","6",NA,"1",NA,"1",NA,1,13,1,14,1,16,1,15,2,NA,1,12,1,15,1,NA,1,1,16,3,5,5,4,2,2,2,1,1,3,2,3,3,1,1,3,2,1,1,1,1,5,3,5,2,3,2,5,3,3,2,5,5,4,2,3,2,2,2,3,2,2,4,3,3,1,4,4,3,3,4,4,5,4,4,5,3,5,5,4,NA,"1","1","2",4,1,6,9,1,6,1,1,15,10,6,15,6,25,7.57142857142857,11,5,7,7,13,11,43,21,22,43
16,3,3,2,1,10,NA,"10,12","6",2,"5","1","2,8,10",NA,"3",NA,"1",NA,1,12,1,14,2,NA,2,NA,2,NA,2,NA,1,14,2,NA,1,1,14,1,5,1,2,1,4,3,5,3,3,2,6,4,4,4,5,2,3,2,4,6,1,1,2,3,3,2,4,2,5,5,2,5,4,4,4,5,3,2,4,4,4,4,5,2,4,4,5,4,4,5,2,3,5,5,3,3,3,4,3,"6","1","3","2",12,15,6,24,16,10,6,24,1,6,6,8,25,10,12.0714285714286,4,8,13,9,19,13,62,20,16,36
17,3,1,1,1,12,NA,"7,8","2",8,"5","1","6,7,8,9",NA,"2,3",NA,"2",NA,1,11,1,11,2,NA,2,NA,2,NA,2,NA,1,13,1,NA,1,1,15,2,5,2,2,2,4,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,4,2,3,2,3,2,3,2,3,3,4,3,4,3,3,4,3,4,4,5,3,5,4,5,4,5,5,4,5,4,3,4,4,4,4,4,4,4,4,"2","2","3","2",12,4,4,6,4,6,4,4,8,6,6,6,9,12,6.5,6,6,13,11,22,14,66,20,19,39
20,5,3,3,2,NA,"1","9,10","1,6",2,"6","1","9",NA,"3",NA,"3",NA,2,NA,1,13,2,NA,2,NA,2,NA,1,9,1,12,1,NA,2,1,14,2,5,2,1,1,4,2,5,2,5,4,5,3,1,1,6,4,4,1,6,5,6,6,6,6,6,6,6,6,6,4,5,5,4,5,2,4,3,2,3,4,3,5,4,2,1,5,2,2,4,5,2,4,5,3,5,4,5,5,5,"9","1","3","3",8,10,20,15,1,24,4,30,36,36,36,36,24,25,21.7857142857143,4,7,10,8,12,14,51,21,22,43
17,9,1,2,2,NA,"7","9,10","1,6",8,"4","1","9",NA,"3,5",NA,"2",NA,2,NA,1,13,2,NA,2,NA,2,NA,2,NA,1,14,2,NA,2,1,14,3,5,4,4,4,3,3,4,3,3,3,5,4,1,2,5,4,5,3,5,4,6,4,6,3,5,4,5,4,4,4,4,4,4,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,2,4,4,4,3,3,4,4,3,"9","2","3","3",9,12,9,20,2,20,15,20,24,18,20,20,16,16,15.7857142857143,12,10,13,13,20,13,69,19,16,35
20,6,2,1,2,NA,"1","8,10","2,6",8,"5","2","9",NA,"2",NA,"2",NA,2,NA,1,18,2,NA,1,18,2,NA,1,18,1,18,1,NA,1,1,19,3,5,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,4,2,2,1,1,1,1,1,1,4,4,4,2,1,1,2,2,1,3,4,1,3,4,3,2,2,4,4,5,2,2,4,4,4,4,4,"9","2","2","3",1,1,1,1,1,1,1,1,30,20,4,1,1,1,4.64285714285714,NA,8,6,3,11,11,39,19,18,37
21,7,1,2,2,NA,"1","10","6",8,"5","1","6",NA,"2",NA,"2",NA,1,11,1,12,1,13,1,14,1,14,1,14,1,12,1,NA,1,2,NA,3,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1,4,3,2,5,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"6","2","2","2",1,1,1,1,1,1,1,1,2,6,1,1,1,1,1.42857142857143,6,5,15,13,24,13,70,25,25,50
25,9,1,2,2,NA,"2","3,6","2",2,"5","2","9,11","Biromantic","3",NA,"2",NA,1,12,1,17,2,NA,2,NA,2,NA,1,17,1,18,1,NA,2,2,NA,3,5,3,4,3,3,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,6,6,6,5,6,6,5,5,4,3,5,5,4,2,2,4,1,2,2,3,1,2,1,1,1,3,2,2,2,4,2,3,2,2,2,3,3,4,4,"2","1","3","3",3,1,1,2,1,1,2,2,36,30,36,25,12,25,12.6428571428571,10,4,9,3,9,6,31,16,13,29
19,3,1,2,2,NA,"6","8,12","2,6",8,"5","1","4,6",NA,"1,5",NA,"2",NA,1,10,1,10,1,12,1,13,2,NA,2,NA,1,10,5,NA,2,1,10,1,5,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,6,4,3,2,4,3,2,1,3,1,3,3,4,5,4,3,2,4,4,5,5,4,2,2,2,4,5,5,3,5,2,4,5,5,5,4,5,4,5,"9","2","5","2",1,1,2,1,1,2,1,1,24,6,12,2,3,9,4.71428571428571,4,9,13,9,18,10,59,22,22,44
19,8,1,1,2,NA,"1,6","10,12","6",8,"5","2","3",NA,"1",NA,"1",NA,1,16,1,16,2,NA,2,NA,2,NA,2,NA,1,16,1,NA,1,2,NA,3,5,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,1,1,1,2,6,6,6,6,4,4,3,3,2,2,4,4,4,2,2,2,2,3,3,2,1,1,2,1,2,1,4,2,4,5,5,5,5,5,5,5,5,5,4,"6","2","1","1",1,1,1,3,1,9,1,2,36,36,16,9,4,16,9.71428571428571,3,4,6,4,16,4,34,25,24,49
20,8,3,2,2,NA,"1","10","6",2,"5","1","7",NA,"2,3",NA,"2",NA,1,14,1,14,1,18,1,19,2,NA,2,NA,1,15,1,NA,1,1,15,3,5,1,1,1,2,1,1,1,4,3,2,1,1,1,1,1,1,1,3,2,4,2,2,4,3,2,4,4,4,4,5,5,4,3,2,2,1,1,1,2,1,1,1,1,1,1,1,2,4,5,5,5,5,5,5,5,5,5,5,"6","1","3","4",2,1,12,2,1,1,1,6,8,8,6,16,16,25,7.5,3,5,6,3,8,3,25,25,25,50
25,3,1,2,2,NA,"3","10,12","6",2,"5","3","1",NA,"2",NA,"2",NA,1,13,1,16,1,18,2,NA,2,NA,2,NA,1,16,6,"Counsellor",1,1,23,3,5,3,2,4,1,1,2,1,4,3,2,1,1,1,1,1,1,1,2,2,6,4,6,5,6,4,6,6,5,4,6,6,4,1,2,2,1,2,3,2,2,1,2,2,1,3,3,1,2,5,5,5,5,4,4,5,5,5,4,"6","1","2","1",1,2,12,2,1,1,1,4,24,30,24,36,20,36,13.8571428571429,9,3,5,5,11,6,30,24,23,47
26,8,1,2,2,NA,"5","10","6",6,"5","1","1",NA,"3",NA,"2",NA,1,11,1,11,1,24,2,NA,1,24,2,NA,1,11,5,NA,2,1,19,3,5,1,1,1,1,1,1,2,2,2,1,2,1,2,1,3,1,1,1,2,6,5,5,5,6,5,1,5,1,2,3,2,4,2,2,4,2,5,5,5,2,2,2,2,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,"6","1","3","1",1,2,4,2,2,3,1,2,30,25,30,5,2,6,8.21428571428571,3,4,14,6,22,6,52,25,25,50
18,5,1,3,2,NA,"1","10","6",8,"5","2","6,7,10",NA,"2",NA,"2",NA,1,13,1,15,2,NA,2,NA,1,16,1,12,1,15,1,NA,2,1,18,3,5,2,2,2,4,3,3,2,4,2,4,3,3,2,2,2,3,1,2,2,6,6,6,6,5,5,5,5,5,5,6,5,4,4,3,4,2,2,3,2,2,4,2,2,3,4,4,3,3,4,4,4,4,4,4,3,5,5,5,"6","2","2","2",12,6,8,12,6,4,3,4,36,36,25,25,25,30,16.5714285714286,6,7,9,6,15,10,47,20,22,42
16,8,1,1,1,11,NA,"10","6",8,"5","3","7",NA,"2",NA,"2",NA,1,12,1,14,2,NA,2,NA,1,16,1,12,1,15,1,NA,1,1,15,3,5,2,2,3,2,1,3,3,2,2,3,3,1,1,2,1,1,1,2,2,4,3,5,4,3,2,3,3,2,2,3,2,4,3,2,2,1,2,3,2,2,4,3,2,2,3,4,2,3,5,4,4,5,5,4,3,5,5,5,"6","2","2","4",2,9,4,9,1,2,1,4,12,20,6,9,4,6,6.35714285714286,7,5,6,5,14,10,40,22,23,45
17,7,2,2,1,12,NA,"7,10,11","4",8,"5","1","6",NA,"2",NA,"2",NA,1,10,1,13,1,14,1,14,2,NA,1,17,1,16,2,NA,1,1,16,2,5,4,4,3,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,3,3,1,1,2,2,2,2,3,3,4,4,4,3,2,3,3,3,2,4,3,3,2,4,5,3,4,5,5,4,4,4,4,4,5,5,2,"4","2","2","2",1,1,4,1,4,4,1,1,1,9,1,4,4,9,3.21428571428571,11,8,9,7,17,11,52,22,20,42
22,6,3,2,2,NA,"3","10","6",8,"5","1","6",NA,"7",NA,"1",NA,1,12,1,14,1,14,1,15,1,14,1,15,1,14,6,"A friend on the internet",2,1,15,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,4,3,4,3,1,1,1,1,1,1,4,2,2,2,2,1,2,1,2,3,2,1,2,2,2,1,2,5,5,5,5,5,5,5,5,5,5,"6","2",NA,"2",1,1,1,1,1,1,1,1,18,12,12,1,1,1,3.78571428571429,3,4,4,5,9,7,29,25,25,50
17,3,1,2,3,NA,"6","16","1,2,3,4,6",8,"5","3","11","Aroace","1,5",NA,"2",NA,1,13,1,12,2,NA,NA,NA,1,16,1,15,1,14,1,NA,2,1,15,7,5,1,1,1,4,4,5,2,6,3,2,5,1,3,3,2,3,3,5,3,6,5,3,4,5,3,4,4,5,2,5,3,4,4,2,4,3,4,5,4,3,5,4,4,4,3,3,4,4,5,4,5,5,5,4,5,5,5,5,"9","2","5","3",16,10,18,10,3,6,9,15,30,12,15,16,10,15,13.2142857142857,3,6,12,10,20,12,60,25,23,48
17,3,3,1,2,NA,"1","1,10,12","6",8,"5","3","1,2,7",NA,"3,4,5",NA,"2",NA,1,15,1,15,1,16,2,NA,1,16,2,NA,1,15,1,NA,2,1,16,4,5,1,1,2,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,5,2,6,3,5,4,6,6,4,3,6,5,4,5,4,5,4,4,4,5,4,5,4,4,4,5,5,4,5,4,1,4,5,2,2,4,2,4,4,"6","2","3","1",1,1,16,1,1,1,1,1,10,18,20,36,12,30,10.6428571428571,4,9,14,12,22,14,71,18,14,32
16,9,3,2,1,11,NA,"11,12","6",8,"5","2","6,7",NA,"2",NA,"2",NA,1,13,1,13,1,15,2,NA,1,14,2,NA,1,13,1,NA,1,1,13,2,5,2,2,2,5,3,6,4,2,2,5,4,2,1,2,2,5,3,5,5,6,6,3,3,2,3,5,4,2,3,6,6,4,5,4,4,3,4,4,5,3,4,4,4,5,4,4,5,5,5,3,4,4,5,5,5,5,5,5,"6","2","2","2",15,24,4,20,2,4,15,25,36,9,6,20,6,36,15.8571428571429,6,9,14,10,22,12,67,24,22,46
23,9,3,1,2,NA,"1","10","6",8,"5","1","7,8,9,11","Aromantic","3",NA,"2",NA,2,NA,1,14,2,NA,2,NA,2,NA,1,15,1,16,3,NA,1,1,20,3,5,4,4,3,2,2,2,1,1,2,2,2,3,2,3,2,2,2,3,2,6,4,6,5,6,4,5,4,5,3,4,3,4,5,4,5,3,3,3,5,3,3,4,5,3,5,4,3,4,3,2,3,4,4,2,3,3,3,2,"6","2","3","3",4,2,2,4,6,6,4,6,24,30,24,20,15,12,11.3571428571429,11,9,13,11,17,12,62,16,13,29
16,7,3,3,1,11,NA,"10","6",8,"5","2","10",NA,"2,3",NA,"2",NA,1,12,1,14,2,NA,2,NA,1,15,1,13,1,14,1,NA,2,1,16,3,5,2,4,2,2,1,2,2,3,3,3,2,1,2,4,3,1,1,3,2,5,2,5,3,4,2,3,2,4,3,5,4,4,3,4,3,2,3,3,4,5,3,3,4,2,3,4,4,4,5,4,4,5,4,5,4,5,5,4,"6","2","3","2",2,4,9,6,2,12,1,6,10,15,8,6,12,20,8.07142857142857,8,7,11,11,16,9,54,22,23,45
25,3,3,2,2,NA,"2,6","7,11","6",8,"5","1","6,7",NA,"3,5,6","Agender (I class myself as non-binary trans)","1",NA,1,11,1,21,1,11,1,23,1,23,2,NA,1,21,1,NA,2,1,22,2,5,1,1,1,1,1,1,1,2,2,3,2,1,1,3,2,1,1,4,3,6,3,6,4,5,3,4,2,3,2,6,4,4,2,2,4,1,2,4,4,1,2,1,2,3,2,4,4,3,5,5,5,5,4,5,5,5,5,5,"6","2","3","2",1,1,4,6,1,6,1,12,18,24,15,8,6,24,9.07142857142857,3,4,12,4,16,5,41,24,25,49
17,9,1,2,1,12,NA,"10","6",8,"4","1","7,9",NA,"1,4,5",NA,"2",NA,2,NA,1,11,2,NA,2,NA,1,16,2,NA,1,11,1,NA,2,1,12,2,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,4,2,4,4,3,2,5,4,3,3,4,3,4,5,3,4,2,4,3,5,2,2,2,2,3,3,5,5,5,5,2,5,4,5,5,5,5,5,5,"6","2","5","3",4,4,4,4,4,2,1,1,8,16,6,20,9,12,6.78571428571429,3,8,14,6,20,7,55,25,21,46
16,7,1,3,1,11,NA,"10","6",8,"4","1","9",NA,"3,5,6","Agender","2",NA,2,NA,1,14,2,NA,2,NA,2,NA,2,NA,1,14,1,NA,2,1,15,3,5,3,3,3,1,2,1,1,2,3,2,4,1,1,2,4,1,1,1,2,3,3,4,4,3,3,2,3,1,1,2,2,4,1,1,5,3,3,2,5,5,5,2,3,2,4,1,4,5,5,5,5,5,5,4,5,4,5,2,"6","2","3","3",2,1,6,8,1,8,1,2,9,16,9,6,1,4,5.28571428571429,9,2,14,11,13,11,51,25,20,45
16,2,3,2,1,11,NA,"6","2",8,"5","1","2,7",NA,"3",NA,"2",NA,1,12,1,12,1,14,2,NA,1,14,1,13,1,12,1,NA,2,1,14,2,5,1,1,4,4,3,4,2,5,4,3,3,3,2,3,2,2,2,5,4,6,1,6,4,6,1,6,5,5,4,6,5,4,2,2,2,2,3,3,2,2,1,1,1,2,2,2,4,4,5,5,5,5,5,5,5,4,5,5,"2","2","3","1",12,8,20,9,6,6,4,20,6,24,6,30,20,30,14.3571428571429,6,4,8,5,14,4,35,25,24,49
16,3,3,2,1,11,NA,"11,12","6",8,"5","1","1",NA,"2",NA,"2",NA,1,13,1,12,1,14,2,NA,1,13,2,NA,1,12,1,NA,2,1,15,3,5,4,2,2,2,1,2,3,3,3,3,3,2,2,4,4,2,3,4,4,6,2,6,4,6,6,6,5,6,5,6,6,4,4,4,5,5,5,5,4,4,5,5,3,4,5,5,3,5,5,2,5,4,4,4,4,5,5,5,"6","2","2","1",2,6,9,9,4,16,6,16,12,24,36,30,30,36,16.8571428571429,8,8,12,12,24,15,71,23,20,43
17,3,3,2,1,12,NA,"12,14","6",7,"5","1","6",NA,"2",NA,"2",NA,1,14,1,14,2,NA,2,NA,2,NA,2,NA,1,14,1,NA,1,1,17,3,5,1,1,1,2,2,1,1,3,2,2,2,1,1,1,1,1,1,1,1,4,5,5,5,4,5,3,3,5,5,1,4,4,2,3,5,3,5,3,5,3,3,4,2,5,5,3,5,4,5,3,4,5,5,5,5,4,5,4,"6","3","2","2",4,1,6,4,1,1,1,1,20,25,20,9,25,4,8.71428571428571,3,5,15,8,20,12,60,24,21,45
16,7,1,2,1,10,NA,"6,10,12","2,6",8,"5","1","8,10",NA,"5",NA,"2",NA,2,NA,1,11,2,NA,2,NA,2,NA,2,NA,1,12,1,NA,2,1,14,4,5,4,4,1,4,2,2,2,2,2,4,2,2,2,2,2,4,2,2,2,6,4,5,4,4,4,2,2,6,4,6,4,4,4,4,4,2,2,2,3,5,5,5,5,2,5,3,3,5,4,1,4,2,4,4,4,3,2,4,"9","2","5","2",8,4,4,8,4,4,8,4,24,20,16,4,24,24,11.1428571428571,9,8,10,12,14,15,59,18,14,32
17,5,1,2,1,12,NA,"10","6",8,"5","2","6,7,8",NA,"3,5",NA,"2",NA,1,8,1,13,2,NA,1,17,2,NA,1,17,1,16,1,NA,2,1,17,3,5,4,4,2,1,1,2,1,2,2,1,1,1,1,3,3,1,1,1,1,4,4,5,4,5,3,1,1,2,2,4,5,4,3,4,3,2,4,5,3,2,2,2,2,3,2,4,3,3,4,2,4,5,2,5,2,5,4,2,"6","2","3","2",1,2,4,1,1,9,1,1,16,20,15,1,4,20,6.85714285714286,10,7,9,6,19,6,47,16,19,35
22,5,1,2,2,NA,"2","10,11","6",8,"5","2","3",NA,"1",NA,"1",NA,1,15,1,17,2,NA,2,NA,2,NA,2,NA,1,20,1,NA,1,2,NA,4,5,3,2,1,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,2,2,3,3,4,2,2,3,1,2,1,2,2,2,1,2,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,"6","2","1","1",4,4,6,6,4,6,4,4,4,9,9,9,4,9,5.85714285714286,6,4,7,5,8,5,29,20,20,40
20,8,1,2,2,NA,"1,6","10","6",8,"5","1","2,6,7",NA,"2,3,5",NA,"1",NA,1,17,1,17,1,19,1,15,1,19,1,15,1,18,1,NA,2,2,NA,3,5,1,1,1,1,1,1,2,2,2,2,3,1,1,1,2,1,1,2,3,4,3,5,3,4,4,2,2,1,1,2,5,4,4,2,3,1,2,2,3,1,2,1,2,2,1,2,3,4,5,2,5,5,5,5,5,5,5,5,"6","2","4","2",1,2,4,6,1,2,1,6,12,15,16,4,1,10,5.78571428571429,3,6,9,4,12,4,35,25,22,47
16,5,1,2,1,11,NA,"12","6",8,"5","1","1",NA,"2",NA,"2",NA,1,13,1,14,2,NA,2,NA,1,14,2,NA,1,14,1,NA,2,1,15,3,5,4,4,4,2,5,3,5,4,4,1,3,3,3,2,5,2,4,3,5,6,5,4,4,5,5,3,3,2,3,1,6,4,2,2,3,2,4,4,5,2,5,5,2,4,5,5,4,2,4,2,3,2,2,1,2,4,2,4,"6","2","2","1",10,15,16,3,9,10,8,15,30,16,25,9,6,6,12.7142857142857,12,4,12,6,19,15,56,13,13,26
16,3,2,1,1,11,NA,"10,11,12","6",2,"4","2","1,9",NA,"2",NA,"2",NA,1,12,1,14,2,NA,2,NA,2,NA,2,NA,1,14,1,NA,2,1,16,2,5,1,1,2,4,4,4,2,5,4,5,5,1,1,6,4,1,1,6,4,6,2,5,2,5,2,6,5,5,2,6,6,4,3,2,5,3,2,4,5,1,2,1,2,4,2,5,5,5,5,4,5,5,4,4,5,5,5,5,"6","1","2","3",16,8,20,25,1,24,1,24,12,10,10,30,10,36,16.2142857142857,4,5,15,6,20,5,51,24,23,47
19,8,1,2,2,NA,"1,6","10","6",8,"6","1","6",NA,"2",NA,"2",NA,1,16,1,17,1,18,1,17,1,18,1,17,1,17,1,NA,2,1,19,3,5,1,2,1,3,2,1,1,1,1,3,2,3,2,1,1,1,1,5,3,6,4,6,4,6,3,2,1,4,3,6,5,4,4,4,3,1,4,2,4,2,3,3,2,2,3,4,3,5,5,2,5,5,5,5,5,5,5,5,"6","2","2","2",6,1,1,6,6,1,1,15,24,24,18,2,12,30,10.5,4,8,10,5,17,9,49,25,22,47
20,3,3,2,2,NA,"1","10","6",8,"5","2","1",NA,"2",NA,"2",NA,1,11,1,17,1,18,1,17,1,18,1,17,1,17,1,NA,1,1,19,3,5,3,3,2,3,1,1,1,2,1,2,1,1,1,3,2,1,2,1,1,5,3,5,4,4,4,5,5,1,2,6,6,4,1,2,2,1,2,1,2,1,1,3,2,1,1,2,2,2,4,3,4,4,4,2,4,5,5,5,"6","2","2","1",3,1,2,2,1,6,2,1,15,20,16,25,2,36,9.42857142857143,8,3,6,4,8,5,26,21,19,40
16,8,1,1,1,11,NA,"1,3","6",8,"5","1","2,7",NA,"3,6","genderqueer","2",NA,1,10,1,10,2,NA,2,NA,1,14,2,NA,1,10,5,NA,2,2,NA,3,5,1,1,4,2,3,1,1,4,3,1,1,1,1,5,5,1,1,1,3,3,1,2,4,1,1,1,1,4,6,4,6,4,1,1,5,2,1,1,5,2,1,1,2,1,1,2,5,2,5,4,5,5,4,4,5,5,4,5,"6","2","3","1",6,1,12,1,1,25,1,3,3,8,1,1,24,24,7.92857142857143,6,2,15,6,7,3,33,23,23,46
17,6,1,3,1,11,NA,"10","6",6,"4","1","4,9",NA,"1,5",NA,"2",NA,1,10,1,12,1,11,2,NA,1,13,1,11,1,12,1,NA,1,1,12,2,5,2,2,3,4,4,4,3,5,4,3,2,3,3,4,3,4,4,6,5,6,5,5,4,6,5,5,5,6,5,6,6,4,3,2,5,2,5,5,5,3,4,4,2,4,4,5,4,5,4,2,5,3,4,2,4,4,5,4,"6","1","5","3",16,12,20,6,9,12,16,30,30,20,30,25,30,36,20.8571428571429,7,5,14,7,24,12,62,22,15,37
18,6,1,1,2,NA,"6","10","6",8,"5","3","6,9",NA,"3,5",NA,"2",NA,1,13,1,14,2,NA,2,NA,2,NA,2,NA,1,15,1,NA,1,1,16,3,5,2,2,2,3,1,2,2,2,2,3,1,2,1,3,2,2,1,2,2,5,3,6,3,5,2,3,2,3,2,5,3,4,2,2,3,2,2,3,3,2,5,5,3,3,4,5,4,5,5,2,4,5,4,3,3,5,5,5,"6","2","3","2",3,4,4,3,2,6,2,4,15,18,10,6,6,15,7,6,4,10,7,18,14,53,21,20,41
17,7,3,2,1,12,NA,"10","6",8,"5","3","1,11","demiaroace","2,3,4",NA,"2",NA,1,15,1,15,1,17,2,NA,1,15,2,NA,1,15,1,NA,2,1,16,2,5,1,1,1,3,1,3,2,4,4,3,2,2,2,5,3,2,2,5,4,6,1,6,3,6,1,6,3,6,4,6,5,4,4,3,5,5,3,4,5,5,2,2,3,2,3,4,5,5,5,5,5,5,4,5,5,5,5,5,"6","2","3","1",3,6,16,6,4,15,4,20,6,18,6,18,24,30,12.5714285714286,3,7,15,13,18,7,60,24,25,49
16,7,6,2,1,10,NA,"10","6",8,"5","1","1",NA,"2",NA,"2",NA,1,9,1,11,2,NA,2,NA,2,NA,2,NA,1,11,1,NA,1,1,13,1,5,1,1,1,5,3,4,4,6,5,4,4,3,3,6,6,4,4,5,4,3,1,2,1,3,1,4,4,6,5,6,6,4,4,3,5,3,2,4,4,4,5,5,3,2,2,5,4,5,4,5,5,5,3,3,5,5,5,5,"6","2","2","1",15,16,30,16,9,36,16,20,3,2,3,16,30,36,17.7142857142857,3,7,13,10,18,12,60,22,23,45
22,8,3,2,2,NA,"3","10","6",8,"5","2","3",NA,"1",NA,"1",NA,1,12,1,15,1,16,1,20,1,20,2,NA,1,16,1,NA,1,1,20,3,5,2,2,2,3,1,4,1,4,3,3,1,2,1,2,2,1,1,1,1,3,2,3,3,3,3,4,5,1,1,2,3,4,2,2,2,2,1,2,2,2,1,1,3,1,1,1,1,1,5,4,5,5,4,4,5,5,4,5,"6","2","1","1",3,4,12,3,2,4,1,1,6,9,9,20,1,6,5.78571428571429,6,4,5,7,6,3,25,23,23,46
24,2,3,2,2,NA,"3","10,12","6",8,"5","1","9,11","Aromantic","3,4",NA,"2",NA,2,NA,1,11,1,17,2,NA,1,16,2,NA,1,14,1,NA,2,1,16,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,4,5,5,4,3,2,2,4,4,4,5,2,4,2,2,2,2,2,2,1,2,2,4,2,4,4,5,5,5,5,5,5,5,5,5,5,"6","2","3","3",1,1,1,1,1,1,1,1,30,20,25,12,4,16,8.21428571428571,3,7,10,6,12,7,42,25,25,50
